,unique_id,winning_bid,hours_final,hours_final_nan,age_at_sale,age_at_sale_nan,bucket,bucket_bin,engine,tires,transmission,score,original_price,predicted_price
5312,ironplanet_1640161,-0.36878285015768775,-6.7328242930088305,0,-0.3333333333333333,0,,0,,,,33.76357706111892,11500.001,10536.532
5029,ironplanet_1722519,0.13985958538880894,-6.12407095646866,0,-0.6666666666666666,0,,0,Ultra Low Sulfur Diesel Seller Comment: ROPS has been decertified.,,,60.15850643428026,22500.004,19562.498
635,rbauction_10928415,-0.4747009299256124,-0.3206246735898968,0,0.6666666666666666,0,bkt,1,,,,35.882575481508134,10000.001,9215.72
620,rbauction_10746439,-0.02924894348634055,0.2916771341200649,0,-0.3333333333333333,0,,0,,,,33.38263424600389,18000.002,17967.656
5572,rbauction_10275222,-0.21970666902392466,0.12836108376406766,0,-0.6666666666666666,0,bkt,1,,,,19.344972671601106,14000.007,13157.371
3626,rbauction_10184084,-0.14257102428612622,0.5111788135935963,0,0.6666666666666666,0,Q/C bkt,1,,,,43.22299795063183,15499.992,15334.804
1658,rbauction_10253152,0.12282861330656658,0.7960468939075473,0,0.3333333333333333,0,bkt,1,,,,38.503056635940425,21999.992,24000.035
2102,rbauction_10418284,-0.21970666902392466,-0.23810496167345205,0,-0.3333333333333333,0,bkt,1,,,,20.148632260799864,14000.007,12344.291
4813,rbauction_10215854,-0.5978653096258961,0.4433490582906153,0,-0.3333333333333333,0,Q/C bkt,1,,,,13.888588499663932,8500.006,8255.404
2188,PW_6698,0.0505981401487734,-1.1536566223149056,0,-0.6666666666666666,0,,0,Kubota V3300-T 75 hp liquid cooled turbocharged diesel engine,,,30.42420446613132,19999.992,21571.08
4509,rbauction_10602120,-0.11851038872637608,0.4011322629453702,0,-0.3333333333333333,0,bkt,1,,,,25.618280850147773,16000.009,15099.926
4092,rbauction_11168369,-0.6927197423427893,-0.4465758881763496,0,0.3333333333333333,0,bkt,1,,,,31.632681321679854,7499.9976,6678.828
5659,ironplanet_1790230,0.3451411843110206,-1.1800603299651091,0,-0.6666666666666666,0,"73"" General Purpose Smooth Edge Bucket",1,Ultra Low Sulfur Diesel,,,58.18784473700831,29500.006,29539.674
3771,rbauction_10716491,-0.02924894348634055,-0.666119858481211,0,0.0,0,bkt,1,,,,36.25307704973311,18000.002,16764.523
3146,PW_DX9047,0.3055924010504629,-0.8234370323609208,0,-0.3333333333333333,0,"Bobcat 73""W bucket",1,Kubota V3800-T diesel engine,Lifemaster Solideal 12-16.5 solid tires,Hydrostatic transmission,39.45446066909055,27999.998,27818.955
