,unique_id,make,model,winning_bid,hours_final,age_at_sale,score,bucket,engine,tires,transmission,month_sold
1248,rbauction_10934600,BOBCAT,S130,12500,2071.0,3.0,15.655796812714186,bkt,,,,Nov
1249,rbauction_10490749,DEERE,332D 2 SPD,12000,7497.0,6.0,29.73804053226719,bkt,,aperture tires,,May
1250,rbauction_10638418,CASE,60XT,14500,900.0,15.0,33.38114117471885,bkt,,,,Jun
1251,rbauction_10494377,DEERE,320D 2 SPD HIGH FLOW,20500,2423.0,3.0,37.8692545732224,bkt,,,,Mar
1252,rbauction_11196698,NEW HOLLAND,LS160,10500,,,29.861826232526163,bkt,,,,May
1253,rbauction_11136051,CATERPILLAR,226,10000,,15.0,18.925186563937945,bkt,,,,Mar
1254,rbauction_11070700,NEW HOLLAND,LS190,7500,,18.0,22.406248631059484,bkt,,,,Feb
1255,rbauction_10830384,DEERE,318D,17000,2118.0,6.0,33.33072878396904,bkt,,solid tires,,Sep
1256,rbauction_10623882,BOBCAT,A770 2 SPD,60000,658.0,3.0,38.26840360950556,bkt,,,,Jul
1257,rbauction_11111292,BOBCAT,S570,15500,1624.0,6.0,20.394310031880103,bkt,,aperture tires,,Mar
1258,rbauction_10411902,CATERPILLAR,262D,22000,2252.0,3.0,51.9101881421655,bkt,,,,Feb
1259,rbauction_10355710,NEW HOLLAND,LS185,8000,5056.0,9.0,20.879307829514815,bkt,,,,Dec
1260,rbauction_10638419,CASE,SR220,15500,4716.0,6.0,31.011868909408413,Q/C bkt,,,,Jun
1261,rbauction_10847124,BOBCAT,S750,11000,6638.0,3.0,24.67165677530864,,,,,Sep
1262,rbauction_11012814,CATERPILLAR,272C 2 SPD,15500,5052.0,6.0,26.9230415604082,bkt,,,,Dec
1263,rbauction_10019567,BOBCAT,S530,16000,3805.0,3.0,24.40236322755725,,,,,Jun
1264,rbauction_10327313,DEERE,315,22000,1161.0,6.0,33.89493080721575,Q/C bkt,,,,Dec
1265,bigiron_DJ0054,DEERE,320D,11450,1058.0,,26.546054836692907,,66 Hp,12X 16.5 10 Front Tires,,May
1266,bigiron_AU0226A,NEW HOLLAND,LS185,14000,772.0,9.0,38.620063858858174,Hydraulic Quick Bucket Attachment,3 Cylinder Diesel Engine,12 By 16 Foam Filled Tires,2 Speed Hydrostatic Transmission,Dec
1267,rbauction_10807966,NEW HOLLAND,LS185B,8500,77.0,12.0,23.552227229391647,bkt,,,,Sep
1268,rbauction_11073925,BOBCAT,S175,15500,2135.0,6.0,15.46447550691174,bkt,,,,Feb
1269,rbauction_11283629,BOBCAT,S590,16000,,6.0,20.15969059352829,grapple bkt,,,,Jun
1270,rbauction_10236396,CASE,1845C,8500,,15.0,33.75793726962857,bkt,,,,Sep
1271,rbauction_10168755,CATERPILLAR,226B 2 SPD,16000,1811.0,9.0,26.33817719449285,bkt,,,,Sep
1272,bigiron_FL3812,BOBCAT,S185,13750,3687.0,12.0,19.819946119834015,6' Quick Tach Bucket,"Diesel, Kubota 4-Cyl W/Turbocharger, Water Cooled Engine",10-16.5 Tires,,Feb
1273,rbauction_11089539,BOBCAT,S630,12000,2898.0,6.0,9.177917696916673,bkt,,segmented tires,,Mar
1274,rbauction_10494389,BOBCAT,863,5500,3279.0,15.0,34.279187636765,bkt,,,,Mar
1275,rbauction_10453664,CATERPILLAR,226,12000,,18.0,36.56942518226862,bkt,,,,Feb
1276,rbauction_10361194,HYDRA-MAC,2650,6000,2585.0,18.0,26.79266936916749,grapple bkt,,aperture tires,,May
1277,rbauction_10133064,CATERPILLAR,246B,11000,2602.0,12.0,31.902821127734505,,,aperture tires,,Sep
1278,rbauction_10835828,BOBCAT,S650,17500,1341.0,3.0,30.55167065311373,bkt,,aperture tires,,Sep
