,unique_id,make,model,hours_final_nan,winning_bid,age_at_sale_nan,hours_final,age_at_sale,score,bucket,engine,tires,transmission,month_sold,engine_sentiment,bucket_sentiment,tires_sentiment,transmission_sentiment
3396,PW_EF9512,CATERPILLAR,236B3,0,0.3993519492256633,0,-0.2697687982942041,-0.4860655598507791,2.131472645761858,"72""W bucket","74 HP, Caterpillar four cylinder diesel engine",12-16.5 tires,Hydrostatic transmission,May,0.0,0.0,0.0,0.0
3397,PW_DF7995,BOBCAT,743,0,-0.9856620651525261,1,0.5069898321884247,0.008174556818595184,-1.0145884137634804,"66""W bucket, Foot bucket controls",Kubota four cylinder diesel engine,10-16.5 tires,Hydrostatic transmission,May,0.0,0.0,0.0,0.0
3398,PW_DG1019,DAEWOO,DSL601,0,-1.4910493404702356,0,0.06489022741070127,1.9851350234960923,0.47721037394564986,"5'W bucket, Foot bucket controls",Four cylinder diesel engine,Deestone 10-16.5 tires,Hydrostatic transmission,May,0.0,0.0,0.0,0.0
3399,PW_DF3473,NEW HOLLAND,LS190B,0,0.016740370377647258,0,0.29063394781527196,0.5024146734879694,-0.010649061010235876,"84""W bucket",Four cylinder diesel engine,14-17.5 tires,Hydrostatic transmission,May,0.0,0.0,0.0,0.0
3400,PW_DF7964,BOBCAT,863,0,-0.44784325625250915,0,0.6161812094989109,1.9851350234960923,-0.6596893466093154,"72""W bucket, Foot bucket controls",Four cylinder diesel engine,12-16.5 tires,Hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3401,PW_DF6586,BOBCAT,A300,0,0.3993519492256633,0,-0.025294273346421387,0.5024146734879694,-0.08404693372957057,"Bobcat 79""W bucket, Joystick bucket controls","82 HP, Kubota four cylinder diesel engine",Lifemaster 33x15.5-16.5 tires,Hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3402,PW_DF8041,BOBCAT,S175,1,-1.5590323963852109,0,0.27101882444419034,0.5024146734879694,-0.7114258464749789,"68""W bucket, Joystick bucket controls",Kubota V2203MD1EU2 four cylinder diesel engine,10-16.5 tires,Hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3403,PW_FM9255,BOBCAT,763,0,-1.208963669210917,0,0.3290459347765884,1.9851350234960923,-1.4601120750314247,"68""W bucket, Foot bucket controls",Ingersoll Rand four cylinder diesel engine,10-16.5 tires,Hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3404,PW_DE3947,KUBOTA,SSV65,0,0.8422368349495389,0,-0.3956828120788567,-0.9803056765201533,3.90035048914289,"68""W low profile bucket, Foot bucket controls",Kubota V2607 2.6L diesel engine,10-16.5 NHS tires,,Jun,0.0,0.0,0.0,0.0
3405,PW_DF8043,NEW HOLLAND,LX465,1,-1.9764492095742592,0,0.27101882444419034,1.9851350234960923,-1.3108092351671587,"60""W bucket, Foot bucket controls",Three cylinder diesel engine,10-16.5 tires,Hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3406,PW_EF9517,BOBCAT,S185,0,-1.425126697438213,0,-0.3607870164682823,0.5024146734879694,0.24686610220791735,"67""W bucket, Foot bucket controls",Kubota four cylinder diesel engine,10-16.5 tires,Hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3407,PW_EF9516,BOBCAT,S220,0,-1.3298436960717142,0,1.0771097316502278,0.5024146734879694,0.3791038628621217,"73""W bucket, Foot bucket controls",Kubota V3300T four cylinder diesel engine,12-16.5 tires,Hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3408,PW_DG1068,GEHL,6635SXT,0,-1.8943534010468515,0,0.6409398216148408,1.9851350234960923,0.4141669340635471,"60""W bucket, Joystick bucket controls",Duetz BF4M1011F four cylinder diesel engine,10x31 solid tires,Hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3409,PW_DG1078,NEW HOLLAND,LX565,1,-1.7389100931002104,0,0.27101882444419034,1.9851350234960923,0.5308767512061864,"72""W bucket, Joystick bucket controls",New Holland four cylinder diesel engine,10-16.5 liquid filled tires,Hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3410,PW_DE3960,KUBOTA,SSV65,0,0.8422368349495389,0,-0.5471732816699141,-0.9803056765201533,3.258247579791148,"Bucket, Foot bucket controls",Kubota V26017 2.6L diesel engine,10-16.5 NHS tires,Hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3411,PW_DB8773,CASE,1845C,0,-1.0667378123536002,0,0.6487421438200082,2.9736152568348406,0.38955800625148435,"72""W bucket, Hand bucket controls",Case four cylinder diesel engine,12-16.5 tires,Hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3412,PW_DB4942,NEW HOLLAND,LX865,0,-2.0186889977185976,0,1.0045358475814608,1.9851350234960923,0.5250413251174652,Foot bucket controls,New Holland 332T/JF 3.2L three cylinder diesel engine,12-16.5 tires,Hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3413,PW_FH9497,DEERE,7775,0,-1.2989881327904398,0,-1.3189542599165953,1.9851350234960923,0.7785687846536572,"67""W low profile bucket, Foot bucket controls",Four cylinder diesel engine,10-16.5 tires,Two speed hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3414,PW_DY9824,CASE,SR220,0,0.25427948685170004,0,0.5214020652704364,-0.4860655598507791,1.1840181855085883,"74""W low profile bucket, Hand bucket controls","82 HP, Case four cylinder diesel engine",14-17.5 tires,Two speed hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3415,PW_FG9373,BOBCAT,873,0,-1.2385597820631782,0,0.6760865705433993,1.9851350234960923,-1.7264466526757376,"71""W low profile bucket, Foot bucket controls",Deutz four cylinder diesel engine,305/70D16.5 tires,Hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
3416,PW_DC4592,CASE,85XT,0,0.09883617890505499,0,0.3663907719687845,1.490894906826718,1.0051629452903443,"81""W bucket, Hand bucket controls",Case four cylinder diesel engine,"16.5""W over tire tracks, 6.00-16 tires",Hydrostatic transmission,Jun,0.0,0.0,0.0,0.0
